Date,Open,High,Low,Close,Volume
2023-08-04,86.6829,87.5292,85.5459,86.3567,21600876.494213
2023-08-07,86.9474,87.8965,86.711,87.8662,11379029.962767
2023-08-08,87.1835,87.2335,85.5487,86.5047,14375751.687252
2023-08-09,86.4616,86.541,83.1314,83.3281,25189099.709372
2023-08-10,83.5623,84.3831,81.9902,82.5613,20608809.544737
2023-08-11,81.6904,81.9244,80.659,81.2742,20756978.437399
2023-08-14,81.4084,83.6661,81.041,83.6582,18058370.932285
2023-08-15,83.1793,83.7092,81.9304,82.5241,14330258.640625
2023-08-16,83.0404,83.6974,81.4897,81.5906,16338098.74565
2023-08-17,81.9354,82.2205,81.0048,81.0137,19630382.341738
2023-08-18,80.3181,81.1185,79.5346,80.8902,18130541.117789
2023-08-21,81.6953,84.9553,81.471,84.7397,30640046.744825
2023-08-22,85.5497,85.6809,83.3429,83.8238,17439314.295101
2023-08-23,83.332,86.0179,83.2567,85.8602,20104383.950536
2023-08-24,88.3843,89.1194,83.4976,83.6936,31582046.840472
2023-08-25,83.9444,85.1608,82.0489,83.435,24686848.71547
2023-08-28,83.8826,84.6407,82.9736,84.342,14605514.03338
2023-08-29,84.0794,87.4524,83.8855,87.1678,28404966.013267
2023-08-30,87.4087,88.0279,86.108,87.398,23720744.247497
2023-08-31,87.9593,90.4726,87.544,90.3962,56358748.406788
2023-09-01,88.3374,88.3374,84.6926,85.4625,66378561.298263
2023-09-05,85.1677,86.489,84.9219,85.4282,25327528.842949
2023-09-06,85.4605,85.9374,84.8963,85.438,20564225.133916
2023-09-07,84.1871,84.4016,82.3281,83.9453,28371081.044292
2023-09-08,83.7465,84.3175,83.2684,83.9962,17171174.847925
2023-09-11,85.0952,85.1177,82.8306,84.1519,16039351.544033
2023-09-12,83.2801,84.0663,82.4398,82.7198,17029539.96555
2023-09-13,82.9814,84.1489,82.6926,83.5437,17777234.93027
2023-09-14,84.1411,85.8689,83.7465,85.3763,20059697.445805
2023-09-15,85.0354,85.0354,82.5613,83.4212,51240505.007664
2023-09-18,82.53,83.8767,82.2772,83.2567,16887210.844583
2023-09-19,82.8639,83.3575,82.1304,83.1783,13406931.521253
2023-09-20,83.7091,83.7091,81.7749,81.7966,13912837.186817
2023-09-21,78.3045,81.0018,78.3025,79.6094,54498666.808582
2023-09-22,79.893,81.7976,79.8083,81.6498,28223298.313565
2023-09-25,81.5435,82.5835,81.0521,82.1236,15888690.74792
2023-09-26,81.6588,81.7666,79.89,80.3804,17913212.85378
2023-09-27,80.6828,81.1181,79.2172,80.4414,15589246.686822
2023-09-28,80.7724,82.613,80.2317,81.9375,16429253.78748
2023-09-29,82.3757,83.1232,81.0421,81.7976,16734993.383265
2023-10-02,81.6479,82.5835,81.1004,82.2278,14901916.456379
2023-10-03,81.445,82.3068,79.6634,80.2465,19049942.719899
2023-10-04,80.7881,81.7976,80.3915,81.1308,16670027.526944
2023-10-05,80.7665,81.6055,80.3106,81.1357,11651044.501924
2023-10-06,80.6965,83.5511,79.9403,83.2433,21428365.261888
2023-10-09,82.7706,84.361,82.5115,84.2893,16002690.696173
2023-10-10,84.4144,85.9304,84.2734,84.5383,14944858.095389
2023-10-11,84.6664,86.2057,84.3552,86.1288,14554991.878846
2023-10-12,86.3129,90.4,86.3129,89.1858,44546543.420209
2023-10-13,89.5206,91.1859,86.8705,86.9778,28770106.11737
2023-10-16,87.745,90.1888,87.745,88.8873,21476383.944999
2023-10-17,87.1719,87.9429,85.2858,87.0979,33516959.578555
2023-10-18,86.6592,88.2039,86.1919,87.357,20718746.80784
2023-10-19,87.356,87.5992,85.2534,85.4661,27029878.17301
2023-10-20,86.1623,86.1623,83.8913,84.0677,27368385.011424
2023-10-23,84.494,86.0342,83.003,84.9135,16709354.310553
2023-10-24,85.0888,86.9601,85.0022,86.774,15203147.637002
2023-10-25,86.3761,86.5396,83.3239,83.6736,21761835.672554
2023-10-26,83.5043,84.1448,80.5922,81.4204,28346721.255669
2023-10-27,81.7405,82.7459,81.5968,82.5638,18517279.56096
2023-10-30,82.8336,83.654,81.4598,82.8484,21211341.934731
2023-10-31,83.1084,83.2669,81.9965,82.8602,14974436.954324
2023-11-01,82.9223,84.0868,82.2889,83.9997,18971807.011179
2023-11-02,84.8919,86.7139,84.695,85.8078,19048510.993462
2023-11-03,86.4185,87.4033,85.7839,86.9286,18319284.995096
2023-11-06,86.8182,87.2446,85.7989,86.7463,13069814.321962
2023-11-07,86.893,88.8085,86.286,88.4196,19665067.229132
2023-11-08,88.6343,89.9055,88.5357,89.7304,15515385.849236
2023-11-09,89.8652,91.569,89.4772,89.755,24863513.609046
2023-11-10,90.7752,94.4398,90.4276,94.2989,36847074.037345
2023-11-13,93.5633,93.7948,92.6208,93.2561,17153270.7386
2023-11-14,94.7737,96.1947,94.0757,95.8195,24253628.609326
2023-11-15,96.4646,96.6852,95.2236,96.0599,16347553.993802
2023-11-16,94.9372,95.4,93.6096,94.4988,26601710.735765
2023-11-17,94.3669,96.896,93.6569,96.2893,20099621.587855
2023-11-20,95.8234,98.4696,95.8234,98.06,18968182.001691
2023-11-21,96.0204,97.5962,95.6886,96.6311,44011717.440483
2023-11-22,96.8763,97.2997,95.6266,95.725,34270981.860314
2023-11-24,96.0164,96.4991,95.208,96.4016,23514725.764902
2023-11-27,96.1336,96.6123,93.4925,93.5821,98456090.339445
2023-11-28,92.5676,93.6431,91.9984,93.1989,39626268.286608
2023-11-29,93.3949,94.487,92.5115,92.6554,35379625.518464
2023-11-30,92.6721,92.8113,90.4433,91.1682,50334932.170614
2023-12-01,90.8462,91.9728,89.4221,91.5887,30068732.765793
2023-12-04,90.667,91.6842,90.2533,90.9949,25394572.422049
2023-12-05,89.7766,90.3351,89.2099,89.9263,37637072.253606
2023-12-06,90.6393,90.6995,88.9396,88.9927,25195024.280688
2023-12-07,89.1798,91.0097,88.9927,90.8265,44187433.936831
2023-12-08,91.376,93.6302,89.6709,92.997,70741928.162454
2023-12-11,94.2487,102.373,94.1581,101.363,102742811.29373
2023-12-12,101.238,106.3,100.903,105.601,91632065.825068
2023-12-13,105.179,108.31,104.642,107.315,72757849.755606
2023-12-14,107.56,110.445,107.374,108.971,67995856.548909
2023-12-15,107.86,113.244,107.801,111.26,120370328.72183
2023-12-18,110.379,113.435,110.167,112.959,55584869.931804
2023-12-19,112.984,113.821,112.044,112.745,36408020.346752
2023-12-20,112.064,112.921,109.745,109.856,34894860.391279
2023-12-21,112.059,112.334,110.313,111.529,24365013.696429
2023-12-22,111.597,111.995,110.168,111.003,19294388.96177
2023-12-26,111.227,112.341,111.107,111.984,16973984.626725
2023-12-27,112.39,112.744,111.101,111.418,20271047.014991
2023-12-28,111.964,112.019,110.713,111.046,21477916.024065
2023-12-29,110.952,111.241,110.28,110.437,20779227.390271
2024-01-02,108.05,109.027,106.563,107.383,29141274.466069
2024-01-03,105.881,106.355,104.407,104.731,35109263.042997
2024-01-04,104.67,105.811,103.622,103.784,25934139.495884
2024-01-05,104.041,104.422,103.042,103.811,22716543.147965
2024-01-08,104.525,106.652,104.08,106.34,33466594.26344
2024-01-09,105.427,107.696,105.337,107.097,23475270.99311
2024-01-10,106.884,107.143,105.129,106.906,17833313.527526
2024-01-11,107.277,108.958,106.306,108.827,26034396.892754
2024-01-12,110.025,110.381,108.83,109.589,27171240.370472
2024-01-16,110.049,111.426,108.693,110.309,26426430.70614
